polled_at,chart_id,chart_type,series,label,value,servers_reporting
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T02:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T02:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T03:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T03:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T04:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T04:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T05:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T05:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T06:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T06:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T07:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T07:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T08:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T08:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T09:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T09:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T10:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T10:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T11:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T11:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T12:00:00+00:00,2,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T12:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T13:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T13:30:00+00:00,2,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T14:00:00+00:00,2,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T14:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T15:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T15:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T16:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T16:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T17:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T17:30:00+00:00,0,
